epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.91734,1.3118,3.16182,1.30697,0.01233,0.93277,0.12798,0.08284,1.0011,2.81384,1.05076,0.00012,0.00012,0.00012
2,2.65658,1.20103,2.51591,1.16009,0.01773,0.95798,0.4363,0.26234,1.07859,2.41451,0.98666,0.000259485,0.000259485,0.000259485
3,3.40845,1.22978,1.55252,1.15567,0.92498,0.2437,0.65531,0.44713,1.04834,2.25027,0.96138,0.000398416,0.000398416,0.000398416
4,4.12781,1.19563,1.33693,1.12726,0.79313,0.57983,0.65822,0.45888,1.03993,2.38982,0.97936,0.000536792,0.000536792,0.000536792
5,4.85245,1.11479,1.24008,1.10865,0.96548,0.23501,0.64378,0.39901,1.15659,2.32515,1.04725,0.000674614,0.000674614,0.000674614
6,5.53847,1.15368,1.12247,1.14543,0.93357,0.35429,0.75332,0.45947,1.15571,2.11592,1.06301,0.000811882,0.000811882,0.000811882
7,6.24987,1.13578,1.24209,1.15254,0.86138,0.41778,0.66686,0.42146,1.16896,2.13572,1.07446,0.000948595,0.000948595,0.000948595
8,6.94834,1.12463,1.16634,1.13314,0.72781,0.52101,0.68633,0.46787,1.16317,1.92699,1.06816,0.00108475,0.00108475,0.00108475
9,7.65063,1.12045,1.14555,1.12581,0.61292,0.44538,0.48502,0.29022,1.20842,2.1231,1.1465,0.00122036,0.00122036,0.00122036
10,8.34824,1.11295,1.0646,1.10668,0.51926,0.44538,0.45982,0.27581,1.22324,2.08538,1.18235,0.00135541,0.00135541,0.00135541
11,9.04578,1.11626,1.02226,1.13275,0.34145,0.2521,0.2583,0.15748,1.28097,2.46007,1.22464,0.0014899,0.0014899,0.0014899
12,9.75187,1.11784,1.09399,1.11089,0.32527,0.35294,0.30223,0.17236,1.32193,2.0408,1.28973,0.00162385,0.00162385,0.00162385
